"Date,""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"07/03/2023,""50,351.40"",""50,505.66"",""50,553.00"",""50,244.91"","""",""-0.31%"""
"06/30/2023,""50,505.73"",""50,615.77"",""50,633.55"",""50,313.18"","""",""-0.22%"""
"06/29/2023,""50,616.25"",""50,499.20"",""50,616.25"",""50,279.27"","""",""0.23%"""
"06/28/2023,""50,499.45"",""50,061.51"",""50,594.54"",""50,036.07"","""",""0.88%"""
"06/27/2023,""50,060.44"",""50,087.02"",""50,272.84"",""49,916.23"","""",""-0.05%"""
"06/26/2023,""50,087.41"",""50,407.62"",""50,407.62"",""50,029.01"","""",""-0.64%"""
"06/23/2023,""50,407.86"",""50,162.89"",""50,420.21"",""49,800.29"","""",""0.49%"""
"06/22/2023,""50,162.98"",""50,121.12"",""50,363.03"",""49,878.90"","""",""0.08%"""
"06/21/2023,""50,120.79"",""49,829.35"",""50,120.79"",""49,544.65"","""",""0.59%"""
"06/20/2023,""49,829.16"",""49,587.10"",""49,936.11"",""49,193.41"","""",""0.49%"""
"06/19/2023,""49,586.71"",""50,084.33"",""50,084.33"",""49,438.62"","""",""-0.99%"""
"06/16/2023,""50,083.93"",""50,234.72"",""50,453.45"",""49,783.14"","""",""-0.30%"""
"06/15/2023,""50,234.91"",""49,959.45"",""50,383.82"",""49,647.62"","""",""0.55%"""
"06/14/2023,""49,959.57"",""49,867.10"",""50,469.78"",""49,458.20"","""",""0.19%"""
"06/13/2023,""49,866.76"",""50,009.95"",""50,034.33"",""49,345.16"","""",""-0.29%"""
"06/12/2023,""50,009.74"",""49,321.68"",""50,011.46"",""49,321.68"","""",""1.40%"""
"06/09/2023,""49,320.70"",""49,341.91"",""49,502.24"",""49,070.02"","""",""-0.04%"""
"06/08/2023,""49,342.40"",""48,801.51"",""49,342.40"",""48,556.14"","""",""1.11%"""
"06/07/2023,""48,800.45"",""48,287.54"",""48,800.45"",""48,111.86"","""",""1.06%"""
"06/06/2023,""48,287.25"",""48,118.15"",""48,469.21"",""47,949.30"","""",""0.35%"""
"06/05/2023,""48,117.93"",""47,869.52"",""48,419.43"",""47,761.21"","""",""0.52%"""
"06/02/2023,""47,869.61"",""46,850.63"",""47,869.65"",""46,850.63"","""",""2.18%"""
"06/01/2023,""46,850.16"",""47,262.53"",""47,388.39"",""46,730.92"","""",""-0.87%"""
"05/31/2023,""47,262.34"",""47,515.82"",""47,723.12"",""47,147.81"","""",""-0.53%"""
"05/30/2023,""47,515.68"",""47,573.85"",""47,750.10"",""47,237.17"","""",""-0.12%"""
